,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b0792,ybhR,U00096.3,,825002,826108,-,ABC exporter membrane subunit YbhR,Defense mechanisms,P0AFP9,Op762,"RpoD,ppGpp,CecR",False,False
b0793,ybhS,U00096.3,,826119,827252,-,ABC exporter membrane subunit YbhS,Defense mechanisms,P0AFQ2,Op763,"RpoD,ppGpp,CecR",False,False
b0794,ybhF,U00096.3,,827245,828981,-,ABC exporter ATP binding subunit YbhF,Defense mechanisms,P0A9U1,Op764,"RpoD,CecR,ppGpp",False,False
b0795,ybhG,U00096.3,,828974,829972,-,HlyD_D23 family protein YbhG,Cell wall/membrane/envelope biogenesis,P75777,Op765,"RpoD,YdcN,ppGpp,CecR",False,True
b0796,cecR,U00096.3,,829972,830643,-,DNA-binding transcriptional dual regulator CecR,Transcription,P0ACU0,Op766,"RpoD,YbiH,ppGpp,CecR",False,False
b0797,rhlE,U00096.3,,830872,832236,+,ATP-dependent RNA helicase RhlE,Nucleotide transport and metabolism,P25888,Op767,"ppGpp,CecR",False,False
b0798,ybiA,U00096.3,,832468,832950,-,N-glycosidase YbiA,"Post-translational modification, protein turnover, and chaperones",P30176,Op768,YidZ,False,True
b0799,dinG,U00096.3,,833070,835220,+,ATP-dependent DNA helicase DinG,"Replication, recombination and repair",P27296,Op769,"RpoD,YafC,LexA",False,False
b0800,ybiB,U00096.3,,835248,836210,+,nonspecific DNA-binding protein YbiB,Amino acid transport and metabolism,P30177,Op770,"RpoD,YeiE,LexA",False,True
b0801,hcxB,U00096.3,,836351,837436,+,hydroxycarboxylate dehydrogenase B,Energy production and conversion,P30178,Op771,,False,False
b4769,ybiE,U00096.3,,837503,837562,+,protein YbiE,No COG annotation,P0DSE7,Op772,,False,False
b0802,ybiJ,U00096.3,,837665,837925,-,DUF1471 domain-containing protein YbiJ,Function unknown,P0AAX3,Op773,"YhaJ,Lrp",True,True
b0803,ybiI,U00096.3,,838190,838456,-,zinc finger domain-containing protein YbiI,Signal transduction mechanisms,P41039,Op774,"RpoS,Lrp",True,True
b0804,ybiX,U00096.3,,838530,839207,-,PKHD-type hydroxylase YbiX,Function unknown,P75779,Op775,,True,True
b0805,fiu,U00096.3,,839249,841531,-,iron catecholate outer membrane transporter Fiu,Inorganic ion transport and metabolism,P75780,Op776,"RpoD,Fur,Crp,rybB",True,False
b0806,mcbA,U00096.3,,841796,842056,-,DUF1471 domain-containing protein McbA,Function unknown,P0AAX6,Op777,"RpoD,McbR,Nac",True,True
b0807,rlmF,U00096.3,,842332,843258,+,23S rRNA m(6)A1618 methyltransferase,"Translation, ribosomal structure and biogenesis",P75782,Op778,"ppGpp,Nac",False,False
b0808,ybiO,U00096.3,,843255,845480,-,moderate conductance mechanosensitive channel YbiO,Cell wall/membrane/envelope biogenesis,P75783,Op779,"YciT,Lrp",True,False
b0809,glnQ,U00096.3,,845741,846463,-,L-glutamine ABC transporter ATP binding subunit,Amino acid transport and metabolism,P10346,Op780,"RpoD,RpoN,Fis,IHF,NtrC,Lrp",True,False
b0810,glnP,U00096.3,,846460,847119,-,L-glutamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P0AEQ6,Op781,"RpoN,ppGpp,IHF,NtrC",True,False
b0811,glnH,U00096.3,,847258,848004,-,L-glutamine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P0AEQ3,Op782,"RpoN,ppGpp,IHF,NtrC,Lrp",True,False
b0812,dps,U00096.3,,848408,848911,-,DNA protection during starvation protein,Inorganic ion transport and metabolism,P0ABT2,Op783,"OxyR,RpoD,oxyS,RpoS,IHF,MntR,ppGpp,Fis,H-NS,ArgR",True,False
b0813,rhtA,U00096.3,,849210,850097,-,L-threonine/L-homoserine exporter,Function unknown,P0AA67,Op784,"Nac,OmpR",False,False
b4736,yliM,U00096.3,,850332,850397,+,protein YliM,No COG annotation,P0DPN6,Op785,RpoD,True,False
b0814,ompX,U00096.3,,850450,850965,+,outer membrane protein X,Cell wall/membrane/envelope biogenesis,P0A917,Op786,"RpoD,YciT,omrA,omrB,micA,cyaR,Fnr,OmpR",False,True
b0815,opgE,U00096.3,,851014,852597,-,phosphoethanolamine transferase OpgE,Function unknown,P75785,Op787,ppGpp,False,False
b4705,mntS,U00096.3,,852869,852997,-,small protein MntS,No COG annotation,P0DKB3,Op788,"RpoD,MntR",True,True
b0817,mntR,U00096.3,,853183,853650,+,DNA-binding transcriptional dual regulator MntR,Transcription,P0A9F1,Op789,DeaD,False,False
b0818,ybiR,U00096.3,,853647,854765,+,putative transporter YbiR,Inorganic ion transport and metabolism,P75788,Op790,YbiH,False,True
b0819,ldtB,U00096.3,,854824,855744,-,L%2CD-transpeptidase LdtB,Cell wall/membrane/envelope biogenesis,P0AAX8,Op791,"Rob,Crp,ppGpp",False,False
b0820,ybiT,U00096.3,,855963,857555,+,putative ATP-binding protein YbiT,Function unknown,P0A9U3,Op792,"YidZ,Crp,AscG,ppGpp,Lrp",False,True
b0821,ybiU,U00096.3,,857796,859061,-,DUF1479 domain-containing protein YbiU,Function unknown,P75791,Op793,"YidZ,ArcA",False,True
b0822,ybiV,U00096.3,,859213,860028,-,sugar phosphatase YbiV,Function unknown,P75792,Op794,YciT,False,False
b0823,ybiW,U00096.3,,860174,862606,-,putative pyruvate formate lyase,Energy production and conversion,P75793,Op795,,False,True
b0824,ybiY,U00096.3,,862612,863511,-,putative pyruvate formate-lyase activating enzyme YbiY,"Post-translational modification, protein turnover, and chaperones",P75794,Op796,YciT,False,True
b0825,fsaA,U00096.3,,863642,864304,+,fructose-6-phosphate aldolase 1,Carbohydrate transport and metabolism,P78055,Op797,,False,False
b0826,moeB,U00096.3,,864380,865129,-,molybdopterin-synthase adenylyltransferase,Coenzyme transport and metabolism,P12282,Op798,"RpoD,YdcN,YidZ,YqhC,YbeF,NarL,ArcA,Fnr",False,False
b0827,moeA,U00096.3,,865129,866364,-,molybdopterin molybdotransferase,Coenzyme transport and metabolism,P12281,Op799,"RpoD,YidZ,NarL,ArcA,Fnr,Nac",False,False
b0828,iaaA,U00096.3,,866568,867533,+,isoaspartyl dipeptidase proenzyme,Amino acid transport and metabolism,P37595,Op800,"ppGpp,Nac",True,False
b0829,gsiA,U00096.3,,867520,869391,+,glutathione ABC transporter ATP binding subunit GsiA,Inorganic ion transport and metabolism,P75796,Op801,ppGpp,True,False
b0830,gsiB,U00096.3,,869411,870949,+,glutathione ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P75797,Op802,ppGpp,True,False
b0831,gsiC,U00096.3,,870967,871887,+,glutathione ABC transporter membrane subunit GsiC,Amino acid transport and metabolism,P75798,Op803,ppGpp,True,False
b0832,gsiD,U00096.3,,871890,872801,+,glutathione ABC transporter membrane subunit GsiD,Amino acid transport and metabolism,P75799,Op804,,True,False
b0833,pdeI,U00096.3,,872979,875327,+,putative c-di-GMP phosphodiesterase PdeI,Signal transduction mechanisms,P75800,Op805,CsrA,False,True
b0834,dgcI,U00096.3,,875335,876663,+,putative diguanylate cyclase DgcI,Signal transduction mechanisms,P75801,Op806,CsrA,False,True
b0835,rimO,U00096.3,,876710,878035,-,ribosomal protein S12 methylthiotransferase RimO,"Translation, ribosomal structure and biogenesis",P0AEI4,Op807,ppGpp,False,False
b0836,bssR,U00096.3,,878248,878631,+,regulator of biofilm formation,Function unknown,P0AAY1,Op808,,True,True
b0837,yliI,U00096.3,,878742,879857,+,aldose sugar dehydrogenase YliI,Carbohydrate transport and metabolism,P75804,Op809,,True,False
b0838,gstB,U00096.3,,879854,880480,-,glutathione S-transferase GstB,"Post-translational modification, protein turnover, and chaperones",P0ACA7,Op810,ppGpp,False,False
b0839,dacC,U00096.3,,880727,881929,+,D-alanyl-D-alanine carboxypeptidase DacC,Cell wall/membrane/envelope biogenesis,P08506,Op811,"RpoD,BolA,ArgR,ppGpp",False,False
b0840,deoR,U00096.3,,881976,882734,-,DNA-binding transcriptional repressor DeoR,Transcription,P0ACK5,Op812,,False,False
b0841,ybjG,U00096.3,,882792,883388,-,undecaprenyl pyrophosphate phosphatase,Lipid transport and metabolism,P75806,Op813,PhoP,False,False
b0842,mdfA,U00096.3,,883673,884905,+,multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter,Amino acid transport and metabolism,P0AEY8,Op814,"YeiE,ppGpp",False,False
b0843,ybjH,U00096.3,,884946,885230,-,uncharacterized protein YbjH,No COG annotation,P0AAY4,Op815,,False,True
b0844,ybjI,U00096.3,,885316,886131,-,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,Function unknown,P75809,Op816,RcdA,False,False
b0845,ybjJ,U00096.3,,886131,887339,-,inner membrane protein YbjJ,Carbohydrate transport and metabolism,P75810,Op817,RcdA,False,True
b0846,rcdA,U00096.3,,887423,887959,+,RcdA,Transcription,P75811,Op818,RcdA,False,False
b0847,ybjL,U00096.3,,888134,889819,-,putative transport protein YbjL,Inorganic ion transport and metabolism,P60869,Op819,ppGpp,False,True
b0848,ybjM,U00096.3,,890089,890466,+,putative inner membrane protein,Function unknown,P64439,Op820,,False,True
b0849,grxA,U00096.3,,890496,890753,-,reduced glutaredoxin 1,"Post-translational modification, protein turnover, and chaperones",P68688,Op821,OxyR,True,False
b0850,ybjC,U00096.3,,890913,891200,+,DUF1418 domain-containing protein YbjC,Function unknown,P46119,Op822,"RpoD,Rob,MarA,OxyR,SoxS",False,True
b0851,nfsA,U00096.3,,891184,891906,+,NADPH-dependent nitro/quinone reductase NfsA,Energy production and conversion,P17117,Op823,"RpoD,Rob,MarA,OxyR,SoxS,SdsN",False,False
b0852,rimK,U00096.3,,891967,892869,+,ribosomal protein S6 modification protein,Nucleotide transport and metabolism,P0C0U4,Op824,"RpoD,Rob,MarA,OxyR,SoxS",False,False
b0853,ybjN,U00096.3,,892957,893433,+,protein YbjN,Function unknown,P0AAY6,Op825,"RpoD,Rob,MarA,OxyR,SoxS,Lrp",False,True
b0854,potF,U00096.3,,893784,894896,+,putrescine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P31133,Op826,"YciT,RpoN,NtrC,ArgR,Lrp,ArcA",False,False
b0855,potG,U00096.3,,894991,896124,+,putrescine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P31134,Op827,"RpoN,NtrC",False,False
b0856,potH,U00096.3,,896134,897087,+,putrescine ABC transporter membrane subunit PotH,Inorganic ion transport and metabolism,P31135,Op828,"RpoN,NtrC",False,False
b0857,potI,U00096.3,,897084,897929,+,putrescine ABC transporter membrane subunit PotI,Inorganic ion transport and metabolism,P0AFL1,Op829,"RpoN,NtrC,ppGpp",False,False
b0858,ybjO,U00096.3,,897989,898477,+,putative inner membrane protein,Function unknown,P0AAZ0,Op830,,False,True
b0859,rlmC,U00096.3,,898518,899645,+,23S rRNA m(5)U747 methyltransferase,"Translation, ribosomal structure and biogenesis",P75817,Op831,ppGpp,False,False
b0860,artJ,U00096.3,,899844,900575,-,L-arginine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P30860,Op832,"RpoD,ArgR",True,False
b0861,artM,U00096.3,,900866,901534,-,L-arginine ABC transporter membrane subunit ArtM,Inorganic ion transport and metabolism,P0AE30,Op833,"RpoD,RpoS,ArgR,ppGpp",True,False
b0862,artQ,U00096.3,,901534,902250,-,L-arginine ABC transporter membrane subunit ArtQ,Inorganic ion transport and metabolism,P0AE34,Op834,"RpoD,RpoS,ArgR,ppGpp",True,False
b0863,artI,U00096.3,,902257,902988,-,putative ABC transporter periplasmic binding protein ArtI,Amino acid transport and metabolism,P30859,Op835,"RpoD,RpoS,ArgR,Lrp",False,True
b0864,artP,U00096.3,,903006,903734,-,L-arginine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAF6,Op836,"RpoD,RpoS,ArgR,Lrp",True,False
b0865,ybjP,U00096.3,,903952,904467,-,DUF3828 domain-containing lipoprotein YbjP,Cell wall/membrane/envelope biogenesis,P75818,Op837,"YbaQ,RpoS,ppGpp,Nac",True,True
b0866,ybjQ,U00096.3,,904593,904916,+,putative heavy metal binding protein YbjQ,Function unknown,P0A8C1,Op838,"ppGpp,Nac",False,True
b0867,amiD,U00096.3,,904913,905743,+,N-acetylmuramoyl-L-alanine amidase D,Defense mechanisms,P75820,Op839,,False,False
b0868,ybjS,U00096.3,,905740,906753,-,putative epimerase YbjS,Cell wall/membrane/envelope biogenesis,P75821,Op840,"ppGpp,Lrp",False,True
b0869,ybjT,U00096.3,,906852,908282,-,putative NAD(P)-binding protein YbjT,Carbohydrate transport and metabolism,P75822,Op841,,False,True
b0870,ltaE,U00096.3,,908293,909294,-,low-specificity L-threonine aldolase,Amino acid transport and metabolism,P75823,Op842,ppGpp,False,False
b0871,poxB,U00096.3,,909331,911049,-,pyruvate oxidase,Energy production and conversion,P07003,Op843,"RpoD,SoxS,RpoS,MarA,Cra,NarP,ppGpp,NsrR,OxyR,NarL,Fnr",True,False
b0872,hcr,U00096.3,,911182,912150,-,NADH oxidoreductase,Energy production and conversion,P75824,Op844,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",False,False
b0873,hcp,U00096.3,,912162,913814,-,protein S-nitrosylase,Energy production and conversion,P75825,Op845,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",False,False
b0874,lysO,U00096.3,,913958,914857,-,L-lysine/thialysine exporter,Function unknown,P75826,Op846,"RpoD,ArgR,ppGpp",False,False
b0875,aqpZ,U00096.3,,915352,916047,-,water channel AqpZ,Carbohydrate transport and metabolism,P60844,Op847,,False,False
b0876,ybjD,U00096.3,,916473,918131,+,DUF2813 domain-containing protein YbjD,"Replication, recombination and repair",P75828,Op848,,False,True
b0877,ybjX,U00096.3,,918128,919120,-,DUF535 domain-containing protein YbjX,Function unknown,P75829,Op849,"Lrp,Nac",False,True
b0878,macA,U00096.3,,919235,920350,+,ABC-type tripartite efflux pump membrane fusion protein,Cell wall/membrane/envelope biogenesis,P75830,Op850,Nac,False,False
b0879,macB,U00096.3,,920347,922293,+,ABC-type tripartite efflux pump ATP binding/membrane subunit,Defense mechanisms,P75831,Op851,,False,False
b0880,cspD,U00096.3,,922366,922590,-,DNA replication inhibitor CspD,Transcription,P0A968,Op852,"RpoD,H-NS,Crp,MqsA,ppGpp",False,False
b4770,yljB,U00096.3,,922740,922814,+,protein YljB,No COG annotation,P0DSE8,Op853,,False,False
b0881,clpS,U00096.3,,922913,923233,+,specificity factor for ClpA-ClpP chaperone-protease complex,Function unknown,P0A8Q6,Op854,"PhoP,Lrp",False,False
b0882,clpA,U00096.3,,923264,925540,+,ATP-dependent Clp protease ATP-binding subunit ClpA,"Post-translational modification, protein turnover, and chaperones",P0ABH9,Op855,"RpoD,YdcN,YeiE,ppGpp",False,False
b0884,infA,U00096.3,,926225,926443,-,translation initiation factor IF-1,"Translation, ribosomal structure and biogenesis",P69222,Op856,"RpoD,YeiE,ppGpp",False,False
b0885,aat,U00096.3,,926728,927432,-,leucyl/phenylalanyl-tRNA--protein transferase,"Post-translational modification, protein turnover, and chaperones",P0A8P1,Op857,YeiE,False,False
b0886,cydC,U00096.3,,927474,929195,-,glutathione/L-cysteine ABC exporter subunit CydC,Inorganic ion transport and metabolism,P23886,Op858,"RpoD,Fnr,NarL,ArcA,Lrp,fnrS",False,False
b0887,cydD,U00096.3,,929196,930962,-,glutathione/L-cysteine ABC exporter subunit CydD,Inorganic ion transport and metabolism,P29018,Op859,"RpoD,fnrS,Fnr,NarL,ArcA",False,False
b0888,trxB,U00096.3,,931085,932050,-,thioredoxin reductase,"Post-translational modification, protein turnover, and chaperones",P0A9P4,Op860,"YeiE,Lrp,Nac",False,False
b0889,lrp,U00096.3,,932595,933089,+,DNA-binding transcriptional dual regulator Lrp,Transcription,P0ACJ0,Op861,"RpoD,YidZ,GadE,NsrR,Lrp,H-NS,ArgR,Nac,ppGpp,dsrA,gcvB,micF",False,False
b0890,ftsK,U00096.3,,933224,937213,+,cell division DNA translocase FtsK,"Cell cycle control, cell division, chromosome partitioning",P46889,Op862,"RpoD,YdcN,LexA,ppGpp",False,False
b0891,lolA,U00096.3,,937372,937983,+,outer membrane lipoprotein carrier protein,Cell wall/membrane/envelope biogenesis,P61316,Op863,"RpoD,RcsB,Lrp",False,False
b0892,rarA,U00096.3,,937994,939337,+,replication-associated recombination protein A,"Replication, recombination and repair",P0AAZ4,Op864,"RpoD,RcsB",False,False
b0893,serS,U00096.3,,939428,940720,+,serine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P0A8L1,Op865,Lrp,False,False
b0894,dmsA,U00096.3,,940959,943403,+,dimethyl sulfoxide reductase subunit A,Energy production and conversion,P18775,Op866,"RpoD,YciT,Fis,ModE,IHF,NarL,Fnr",True,False
b0895,dmsB,U00096.3,,943414,944031,+,dimethyl sulfoxide reductase subunit B,Energy production and conversion,P18776,Op867,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,False
b0896,dmsC,U00096.3,,944033,944896,+,dimethyl sulfoxide reductase subunit C,Function unknown,P18777,Op868,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,False
b0897,ycaC,U00096.3,,944931,945557,-,putative hydrolase YcaC,"Secondary metabolites biosynthesis, transport, and catabolism",P21367,Op869,"YcjW,Fnr,Nac,BaeR",True,True
b0898,ycaD,U00096.3,,945871,947019,+,putative transporter YcaD,Amino acid transport and metabolism,P21503,Op870,"ppGpp,Nac",False,True
b0899,ycaM,U00096.3,,947229,948659,+,putative transporter YcaM,Inorganic ion transport and metabolism,P75835,Op871,"ppGpp,Lrp",False,True
b0900,ycaN,U00096.3,,948660,949568,-,putative DNA-binding transcriptional regulator YcaN,Transcription,P75836,Op872,"YfeD,ppGpp,Nac",False,True
b0901,ycaK,U00096.3,,949668,950258,+,putative oxidoreductase YcaK,Function unknown,P43340,Op873,Nac,False,True
b0902,pflA,U00096.3,,950340,951080,-,pyruvate formate-lyase activating enzyme,"Post-translational modification, protein turnover, and chaperones",P0A9N4,Op874,"RpoD,ryhB",False,False
b0903,pflB,U00096.3,,951272,953554,-,pyruvate formate-lyase,Energy production and conversion,P09373,Op875,"RpoD,YeiE,Fis,Crp,ArcA,IHF,NarL,Fnr",False,False
b0904,focA,U00096.3,,953609,954466,-,formate channel FocA,Inorganic ion transport and metabolism,P0AC23,Op876,"RpoD,YqhC,ArcA,Crp,IHF,NarL,Fnr",True,False
b0905,ycaO,U00096.3,,954872,956632,-,ribosomal protein S12 methylthiotransferase accessory factor YcaO,Function unknown,P75838,Op877,ppGpp,False,False
b0906,ycaP,U00096.3,,956762,957454,+,DUF421 domain-containing protein YcaP,Function unknown,P75839,Op878,"YciT,ppGpp",False,True
b0907,serC,U00096.3,,957653,958741,+,phosphoserine/phosphohydroxythreonine aminotransferase,Coenzyme transport and metabolism,P23721,Op879,"RpoD,YeiE,Crp,ppGpp,Lrp",False,False
b0908,aroA,U00096.3,,958812,960095,+,3-phosphoshikimate 1-carboxyvinyltransferase,Amino acid transport and metabolism,P0A6D3,Op880,"RpoD,Crp,Lrp",False,False
b0909,ycaL,U00096.3,,960264,961028,+,periplasmic protease YcaL,"Post-translational modification, protein turnover, and chaperones",P43674,Op881,,False,True
b0910,cmk,U00096.3,,961201,961884,+,cytidylate kinase,Nucleotide transport and metabolism,P0A6I0,Op882,"RpoD,YfeC,ppGpp",False,False
b0911,rpsA,U00096.3,,961995,963668,+,30S ribosomal subunit protein S1,"Translation, ribosomal structure and biogenesis",P0AG67,Op883,"RpoD,ppGpp,RpsA,DksA",False,False
b0912,ihfB,U00096.3,,963828,964112,+,integration host factor subunit beta,Transcription,P0A6Y1,Op884,"RpoD,RpoS,IHF,DksA",False,False
b0913,ycaI,U00096.3,,964320,966584,+,metallo-beta-lactamase superfamily inner membrane protein YcaI,Function unknown,P37443,Op885,,False,True
b0914,msbA,U00096.3,,966621,968369,+,ATP-binding lipopolysaccharide transport protein,Defense mechanisms,P60752,Op886,"YeiE,ppGpp,Lrp",False,False
b0915,lpxK,U00096.3,,968366,969352,+,tetraacyldisaccharide 4'-kinase,Lipid transport and metabolism,P27300,Op887,ppGpp,False,False
b0916,ycaQ,U00096.3,,969389,970621,+,interstrand DNA crosslink repair glycosylase,Function unknown,P75843,Op888,,False,True
b0917,ycaR,U00096.3,,970673,970855,+,PF03966 family protein YcaR,Function unknown,P0AAZ7,Op889,RpoD,False,True
b0918,kdsB,U00096.3,,970852,971598,+,3-deoxy-manno-octulosonate cytidylyltransferase,Cell wall/membrane/envelope biogenesis,P04951,Op890,RpoD,False,False
b0919,ycbJ,U00096.3,,971752,972645,+,putative phosphotransferase YcbJ,Function unknown,P0AB03,Op891,,False,True
