locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b1019,efeB,U00096.3,,1083376,1084647,+,heme-containing peroxidase/deferrochelatase,Inorganic ion transport and metabolism,P31545,Op993
b1020,phoH,U00096.3,,1084992,1086056,+,ATP-binding protein PhoH,Signal transduction mechanisms,P0A9K1,Op994
b1021,pgaD,U00096.3,,1086106,1086519,-,poly-N-acetyl-D-glucosamine synthase subunit PgaD,Function unknown,P69432,Op995
b1022,pgaC,U00096.3,,1086521,1087846,-,poly-N-acetyl-D-glucosamine synthase subunit PgaC,Cell wall/membrane/envelope biogenesis,P75905,Op996
b1023,pgaB,U00096.3,,1087839,1089857,-,poly-beta-1%2C6-N-acetyl-D-glucosamine N-deacetylase and beta-1%2C6 glycoside hydrolase,Cell wall/membrane/envelope biogenesis,P75906,Op997
b1024,pgaA,U00096.3,,1089866,1092289,-,partially deacetylated poly-beta-1%2C6-N-acetyl-D-glucosamine export outer membrane porin,Function unknown,P69434,Op998
b1025,dgcT,U00096.3,,1092876,1094234,+,putative diguanylate cyclase DgcT,Signal transduction mechanisms,P75908,Op999
b1026,insF4,U00096.3,,1094275,1095141,-,IS3 element protein InsF,"Replication, recombination and repair",P0CF82,Op1000
b1027,insE4,U00096.3,,1095138,1095437,-,IS3 element protein InsE,"Replication, recombination and repair",P0CF69,Op1001
b1029,ycdU,U00096.3,,1095843,1096829,+,uncharacterized protein YcdU,No COG annotation,P75910,Op1002
b1033,ghrA,U00096.3,,1097886,1098824,+,glyoxylate/hydroxypyruvate reductase A,Amino acid transport and metabolism,P75913,Op1003
b1034,ycdX,U00096.3,,1098879,1099616,+,zinc-binding phosphatase YcdX,Amino acid transport and metabolism,P75914,Op1004
b1035,ycdY,U00096.3,,1099640,1100194,+,chaperone protein YcdY,Function unknown,P75915,Op1005
b1036,ycdZ,U00096.3,,1100296,1100787,+,inner membrane protein YcdZ,Function unknown,P75916,Op1006
b1037,csgG,U00096.3,,1100851,1101684,-,curli secretion channel,Cell wall/membrane/envelope biogenesis,P0AEA2,Op1007
b1038,csgF,U00096.3,,1101711,1102127,-,curli assembly component CsgF,Function unknown,P0AE98,Op1008
b1039,csgE,U00096.3,,1102152,1102541,-,curli assembly component CsgE,Function unknown,P0AE95,Op1009
b1040,csgD,U00096.3,,1102546,1103196,-,DNA-binding transcriptional dual regulator CsgD,Transcription,P52106,Op1010
b1041,csgB,U00096.3,,1103951,1104406,+,curlin%2C minor subunit,Function unknown,P0ABK7,Op1011
b1042,csgA,U00096.3,,1104447,1104902,+,curlin%2C major subunit,Function unknown,P28307,Op1012
b1043,csgC,U00096.3,,1104961,1105293,+,curlin chaperone,Cell wall/membrane/envelope biogenesis,P52107,Op1013
b1044,ymdA,U00096.3,,1105414,1105725,+,uncharacterized protein YmdA,No COG annotation,P75917,Op1014
b1045,ymdB,U00096.3,,1105820,1106353,+,2'-O-acetyl-ADP-ribose deacetylase%2C regulator of RNase III activity,Function unknown,P0A8D6,Op1015
b1046,clsC,U00096.3,,1106355,1107776,+,cardiolipin synthase C,Lipid transport and metabolism,P75919,Op1016
b1047,opgC,U00096.3,,1107784,1108941,-,osmoregulated periplasmic glucans (OPG) biosynthesis protein C,Lipid transport and metabolism,P75920,Op1017
b1048,opgG,U00096.3,,1109335,1110870,+,osmoregulated periplasmic glucans biosynthesis protein G,Inorganic ion transport and metabolism,P33136,Op1018
b1049,opgH,U00096.3,,1110863,1113406,+,osmoregulated periplasmic glucans biosynthesis protein H,Cell wall/membrane/envelope biogenesis,P62517,Op1019
b1050,yceK,U00096.3,,1113579,1113806,+,DUF1375 domain-containing lipoprotein YceK,Function unknown,P0AB31,Op1020
b1051,msyB,U00096.3,,1113807,1114181,-,acidic protein MsyB,Function unknown,P25738,Op1021
b1053,mdtG,U00096.3,,1114264,1115490,-,efflux pump MdtG,Amino acid transport and metabolism,P25744,Op1022
b1054,lpxL,U00096.3,,1115662,1116582,-,lauroyl acyltransferase,Cell wall/membrane/envelope biogenesis,P0ACV0,Op1023
b1055,trhO,U00096.3,,1116807,1117859,+,tRNA U34 hydroxylase TrhO,Function unknown,P24188,Op1024
b1056,yceI,U00096.3,,1117901,1118476,-,protein YceI,Function unknown,P0A8X2,Op1025
b1057,yceJ,U00096.3,,1118480,1119046,-,putative cytochrome b561 YceJ,Energy production and conversion,P75925,Op1026
b1058,yceO,U00096.3,,1119307,1119447,-,DUF2770 domain-containing protein YceO,Function unknown,P64442,Op1027
b1059,solA,U00096.3,,1119468,1120586,-,N-methyl-L-tryptophan oxidase,Amino acid transport and metabolism,P40874,Op1028
b1060,bssS,U00096.3,,1120701,1120955,-,regulator of biofilm formation,Function unknown,P0AB33,Op1029
b1061,dinI,U00096.3,,1121242,1121487,-,DNA damage-inducible protein I,"Replication, recombination and repair",P0ABR1,Op1030
b1062,pyrC,U00096.3,,1121561,1122607,-,dihydroorotase,Nucleotide transport and metabolism,P05020,Op1031
b1063,yceB,U00096.3,,1122713,1123273,-,putative lipid-binding lipoprotein YceB,Function unknown,P0AB26,Op1032
b1064,grxB,U00096.3,,1123407,1124054,-,reduced glutaredoxin 2,"Post-translational modification, protein turnover, and chaperones",P0AC59,Op1033
b1065,mdtH,U00096.3,,1124118,1125326,-,multidrug efflux pump MdtH,Amino acid transport and metabolism,P69367,Op1034
b1066,rimJ,U00096.3,,1125562,1126146,+,ribosomal-protein-S5-alanine N-acetyltransferase,"Translation, ribosomal structure and biogenesis",P0A948,Op1035
b1067,yceH,U00096.3,,1126157,1126804,+,DUF480 domain-containing protein YceH,Function unknown,P29217,Op1036
b1068,yceM,U00096.3,,1126806,1127729,+,putative oxidoreductase YceM,Function unknown,P75931,Op1037
b1069,murJ,U00096.3,,1127839,1129374,+,lipid II flippase MurJ,Function unknown,P0AF16,Op1038
b1070,flgN,U00096.3,,1129414,1129830,-,flagellar biosynthesis protein FlgN,Cell motility,P43533,Op1039
b1071,flgM,U00096.3,,1129835,1130128,-,anti-sigma factor for FliA (sigma(28)),Cell motility,P0AEM4,Op1040
b1072,flgA,U00096.3,,1130204,1130863,-,flagellar basal body P-ring formation protein FlgA,Cell motility,P75933,Op1041
b1073,flgB,U00096.3,,1131018,1131434,+,flagellar basal-body rod protein FlgB,Cell motility,P0ABW9,Op1042
b1074,flgC,U00096.3,,1131438,1131842,+,flagellar basal-body rod protein FlgC,Cell motility,P0ABX2,Op1043
b1075,flgD,U00096.3,,1131854,1132549,+,flagellar biosynthesis%2C initiation of hook assembly,Cell motility,P75936,Op1044
b1076,flgE,U00096.3,,1132574,1133782,+,flagellar hook protein FlgE,Cell motility,P75937,Op1045
b1077,flgF,U00096.3,,1133802,1134557,+,flagellar basal-body rod protein FlgF,Cell motility,P75938,Op1046
b1078,flgG,U00096.3,,1134729,1135511,+,flagellar basal-body rod protein FlgG,Cell motility,P0ABX5,Op1047
b1079,flgH,U00096.3,,1135564,1136262,+,flagellar L-ring protein,Cell motility,P0A6S0,Op1048
b1080,flgI,U00096.3,,1136274,1137371,+,flagellar P-ring protein,Cell motility,P0A6S3,Op1049
b1081,flgJ,U00096.3,,1137371,1138312,+,putative peptidoglycan hydrolase FlgJ,Cell wall/membrane/envelope biogenesis,P75942,Op1050
b1082,flgK,U00096.3,,1138378,1140021,+,flagellar hook-filament junction protein 1,Cell motility,P33235,Op1051
b1083,flgL,U00096.3,,1140033,1140986,+,flagellar hook-filament junction protein 2,Cell motility,P29744,Op1052
b1084,rne,U00096.3,,1141182,1144367,-,ribonuclease E,"Translation, ribosomal structure and biogenesis",P21513,Op1053
b1085,yceQ,U00096.3,,1144502,1144822,+,DUF2655 domain-containing protein YceQ,Function unknown,P62066,Op1054
b1086,rluC,U00096.3,,1144940,1145899,+,23S rRNA pseudouridine(955/2504/2580) synthase,"Translation, ribosomal structure and biogenesis",P0AA39,Op1055
b1087,yceF,U00096.3,,1146011,1146595,-,m(7)GTP pyrophosphatase,"Cell cycle control, cell division, chromosome partitioning",P0A729,Op1056
b1088,yceD,U00096.3,,1146794,1147315,+,DUF177 domain-containing protein YceD,Function unknown,P0AB28,Op1057
b1089,rpmF,U00096.3,,1147367,1147540,+,50S ribosomal subunit protein L32,"Translation, ribosomal structure and biogenesis",P0A7N4,Op1058
b1090,plsX,U00096.3,,1147621,1148691,+,putative phosphate acyltransferase,Lipid transport and metabolism,P27247,Op1059
b1091,fabH,U00096.3,,1148759,1149712,+,3-oxoacyl-[acyl carrier protein] synthase 3,Lipid transport and metabolism,P0A6R0,Op1060
b1092,fabD,U00096.3,,1149728,1150657,+,[acyl-carrier-protein] S-malonyltransferase,Lipid transport and metabolism,P0AAI9,Op1061
b1093,fabG,U00096.3,,1150670,1151404,+,3-oxoacyl-[acyl-carrier-protein] reductase FabG,Lipid transport and metabolism,P0AEK2,Op1062
b1094,acpP,U00096.3,,1151615,1151851,+,acyl carrier protein,Lipid transport and metabolism,P0A6A8,Op1063
b1095,fabF,U00096.3,,1151939,1153180,+,3-oxoacyl-[acyl carrier protein] synthase 2,Lipid transport and metabolism,P0AAI5,Op1064
b1096,pabC,U00096.3,,1153300,1154109,+,aminodeoxychorismate lyase,Coenzyme transport and metabolism,P28305,Op1065
b1097,mltG,U00096.3,,1154112,1155134,+,endolytic murein transglycosylase,Function unknown,P28306,Op1066
b1098,tmk,U00096.3,,1155124,1155765,+,Tmk,Nucleotide transport and metabolism,P0A720,Op1067
b1099,holB,U00096.3,,1155762,1156766,+,DNA polymerase III subunit delta',"Replication, recombination and repair",P28631,Op1068
b1100,ycfH,U00096.3,,1156777,1157574,+,putative metal-dependent hydrolase YcfH,"Replication, recombination and repair",P0AFQ7,Op1069
b1101,ptsG,U00096.3,,1157869,1159302,+,glucose-specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,P69786,Op1070
b1102,fhuE,U00096.3,,1159362,1161551,-,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,Inorganic ion transport and metabolism,P16869,Op1071
b1103,hinT,U00096.3,,1161885,1162244,+,purine nucleoside phosphoramidase,Nucleotide transport and metabolism,P0ACE7,Op1072
b1104,ycfL,U00096.3,,1162247,1162624,+,DUF1425 domain-containing protein YcfL,Function unknown,P75946,Op1073
b1105,lpoB,U00096.3,,1162638,1163279,+,outer membrane lipoprotein - activator of MrcB activity,Cell wall/membrane/envelope biogenesis,P0AB38,Op1074
b1106,thiK,U00096.3,,1163260,1164084,+,thiamine kinase,Nucleotide transport and metabolism,P75948,Op1075
b1107,nagZ,U00096.3,,1164095,1165120,+,beta-N-acetylglucosaminidase,Cell wall/membrane/envelope biogenesis,P75949,Op1076
b1108,ycfP,U00096.3,,1165143,1165685,+,PF05728 family protein YcfP,Function unknown,P0A8E1,Op1077
b1109,ndh,U00096.3,,1166085,1167389,+,NADH:quinone oxidoreductase II,Energy production and conversion,P00393,Op1078
b1110,ycfJ,U00096.3,,1167599,1168138,+,PF05433 family protein YcfJ,Function unknown,P0AB35,Op1079
b1111,comR,U00096.3,,1168200,1168832,-,DNA-binding transcriptional repressor ComR,Transcription,P75952,Op1080
b1112,bhsA,U00096.3,,1169073,1169330,+,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,Cell wall/membrane/envelope biogenesis,P0AB40,Op1081
b1113,ldtC,U00096.3,,1169412,1170374,-,L%2CD-transpeptidase LdtC,Cell wall/membrane/envelope biogenesis,P75954,Op1082
b1114,mfd,U00096.3,,1170518,1173964,-,transcription-repair coupling factor,"Replication, recombination and repair",P30958,Op1083
b1115,ycfT,U00096.3,,1174092,1175165,-,inner membrane protein YcfT,Function unknown,P75955,Op1084
b1116,lolC,U00096.3,,1175427,1176626,+,lipoprotein release complex - inner membrane subunit,Cell wall/membrane/envelope biogenesis,P0ADC3,Op1085
b1117,lolD,U00096.3,,1176619,1177320,+,lipoprotein release complex - ATP binding subunit,Defense mechanisms,P75957,Op1086
b1118,lolE,U00096.3,,1177320,1178564,+,lipoprotein release complex - inner membrane subunit,Cell wall/membrane/envelope biogenesis,P75958,Op1087
b1119,nagK,U00096.3,,1178593,1179504,+,N-acetyl-D-glucosamine kinase,Nucleotide transport and metabolism,P75959,Op1088
b1120,cobB,U00096.3,,1179520,1180359,+,protein-lysine deacetylase/desuccinylase/lipoamidase,Transcription,P75960,Op1089
b1121,ycfZ,U00096.3,,1180479,1181267,-,putative inner membrane protein YcfZ,Function unknown,P75961,Op1090
b1122,ymfA,U00096.3,,1181264,1181725,-,putative inner membrane protein YmfA,Function unknown,P75962,Op1091
b1123,potD,U00096.3,,1181783,1182829,-,spermidine preferential ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P0AFK9,Op1092
b1124,potC,U00096.3,,1182826,1183620,-,spermidine preferential ABC transporter membrane subunit PotC,Inorganic ion transport and metabolism,P0AFK6,Op1093
b1125,potB,U00096.3,,1183617,1184444,-,spermidine preferential ABC transporter membrane subunit PotB,Inorganic ion transport and metabolism,P0AFK4,Op1094
b1126,potA,U00096.3,,1184458,1185594,-,spermidine preferential ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P69874,Op1095
b1127,pepT,U00096.3,,1185844,1187070,+,peptidase T,Amino acid transport and metabolism,P29745,Op1096
b1128,roxA,U00096.3,,1187119,1188240,-,50S ribosomal protein L16-arginine 3-hydroxylase,Function unknown,P27431,Op1097
b1129,phoQ,U00096.3,,1188316,1189776,-,sensor histidine kinase PhoQ,Signal transduction mechanisms,P23837,Op1098
b1130,phoP,U00096.3,,1189776,1190447,-,DNA-binding transcriptional dual regulator PhoP,Transcription,P23836,Op1099
b1131,purB,U00096.3,,1190616,1191986,-,adenylosuccinate lyase,Nucleotide transport and metabolism,P0AB89,Op1100
b1132,hflD,U00096.3,,1191990,1192631,-,lysogenization regulator,Function unknown,P25746,Op1101
b1133,mnmA,U00096.3,,1192667,1193773,-,tRNA-specific 2-thiouridylase,"Translation, ribosomal structure and biogenesis",P25745,Op1102
b1134,nudJ,U00096.3,,1193827,1194288,-,phosphatase NudJ,Nucleotide transport and metabolism,P0AEI6,Op1103
b1135,rluE,U00096.3,,1194298,1194951,-,23S rRNA pseudouridine(2457) synthase,"Translation, ribosomal structure and biogenesis",P75966,Op1104
b1136,icd,U00096.3,,1195123,1196373,+,isocitrate dehydrogenase,Energy production and conversion,P08200,Op1105
b1137,ymfD,U00096.3,,1196867,1197532,-,putative SAM-dependent methyltransferase YmfD,Coenzyme transport and metabolism,P75967,Op1106
b1138,ymfE,U00096.3,,1197533,1198237,-,uncharacterized protein YmfE,No COG annotation,P75968,Op1107
b1139,lit,U00096.3,,1198695,1199588,+,cell death peptidase Lit,"Post-translational modification, protein turnover, and chaperones",P11072,Op1108
b1140,intE,U00096.3,,1199679,1200806,-,putative integrase,"Replication, recombination and repair",P75969,Op1109
b1141,xisE,U00096.3,,1200787,1201032,-,putative excisionase,Function unknown,P75970,Op1110
b1142,ymfH,U00096.3,,1201069,1201380,-,putative protein YmfH,No COG annotation,P75971,Op1111
b1143,ymfI,U00096.3,,1201497,1201838,+,uncharacterized protein YmfI,No COG annotation,P75972,Op1112
b1144,ymfJ,U00096.3,,1201776,1202084,-,uncharacterized protein YmfJ,No COG annotation,P75973,Op1113
b1145,ymfK,U00096.3,,1202259,1202933,-,putative repressor protein YmfK,Transcription,P75974,Op1114
b1146,ymfT,U00096.3,,1203024,1203224,+,putative DNA-binding transcriptional regulator YmfT,Transcription,P75975,Op1115
b1147,ymfL,U00096.3,,1203268,1203825,+,uncharacterized protein YmfL,No COG annotation,P75976,Op1116
b1148,ymfM,U00096.3,,1203822,1204160,+,cell division inhibitor YmfM,No COG annotation,P75977,Op1117
b1149,ymfN,U00096.3,,1204170,1205537,+,chimeric replication protein/phage terminase YmfN,Transcription,P75978,Op1118
b1150,ymfR,U00096.3,,1205549,1205731,+,IPR020297 domain-containing protein YmfR,No COG annotation,P75979,Op1119
b1151,beeE,U00096.3,,1205731,1206204,+,protein BeeE,Function unknown,P75980,Op1120
b1153,ymfQ,U00096.3,,1206913,1207497,+,DUF2313 domain-containing protein YmfQ,Function unknown,P75982,Op1121
b1154,ycfK,U00096.3,,1207501,1208130,+,protein StfP,No COG annotation,P45581,Op1122
b1155,tfaP,U00096.3,,1208132,1208545,+,putative tail fiber assembly protein TfaP,Function unknown,P09154,Op1123
b1156,tfaE,U00096.3,,1208517,1209119,-,putative tail fiber assembly protein TfaE,Function unknown,P09153,Op1124
b1158,pinE,U00096.3,,1209685,1210239,+,site-specific DNA recombinase,"Replication, recombination and repair",P03014,Op1125
b1159,mcrA,U00096.3,,1210346,1211179,+,Type IV methyl-directed restriction enzyme EcoKMcrA,Defense mechanisms,P24200,Op1126
b1160,iraM,U00096.3,,1211680,1212003,-,anti-adaptor protein IraM,Transcription,P75987,Op1127
b4738,ymgK,U00096.3,,1212260,1212304,-,protein YmgK,No COG annotation,P0DPN8,Op1128
b4739,ymgL,U00096.3,,1212540,1212650,-,protein YmgL,No COG annotation,P0DPN9,Op1129
b1161,ycgX,U00096.3,,1212703,1213107,-,DUF1398 domain-containing protein YcgX,Function unknown,P75988,Op1130
b1162,bluR,U00096.3,,1213328,1214059,-,DNA-binding transcriptional repressor BluR,Transcription,P75989,Op1131
b1163,bluF,U00096.3,,1214264,1215475,-,blue light- and temperature-regulated antirepressor BluF,Signal transduction mechanisms,P75990,Op1132
b1164,ycgZ,U00096.3,,1215789,1216025,+,putative two-component system connector protein YcgZ,Function unknown,P75991,Op1133
b1165,ymgA,U00096.3,,1216068,1216340,+,putative two-component system connector protein YmgA,Function unknown,P75992,Op1134
b1166,ariR,U00096.3,,1216369,1216635,+,putative two-component system connector protein AriR,Transcription,P75993,Op1135
b1167,ymgC,U00096.3,,1216748,1216996,+,protein YmgC,No COG annotation,P75994,Op1136
b1168,pdeG,U00096.3,,1217328,1218851,+,putative c-di-GMP phosphodiesterase PdeG,Signal transduction mechanisms,P75995,Op1137
b4520,ymgF,U00096.3,,1218983,1219201,+,inner membrane protein YmgF,No COG annotation,P58034,Op1138
b1171,ymgD,U00096.3,,1222305,1222634,-,PF16456 family protein YmgD,Function unknown,P0AB46,Op1139
b1172,ymgG,U00096.3,,1222644,1222988,-,PF13436 family protein YmgG,Function unknown,Q7DFV3,Op1140
b4593,ymgI,U00096.3,,1222990,1223163,-,uncharacterized protein YmgI,No COG annotation,A5A611,Op1141
b4594,ymgJ,U00096.3,,1223264,1223449,+,uncharacterized protein YmgJ,No COG annotation,A5A612,Op1142
b1174,minE,U00096.3,,1224279,1224545,-,Z-ring positioning protein MinE,"Cell cycle control, cell division, chromosome partitioning",P0A734,Op1143
b1175,minD,U00096.3,,1224549,1225361,-,Z-ring positioning protein MinD,"Cell cycle control, cell division, chromosome partitioning",P0AEZ3,Op1144
